synset,rating,list,word
643197,0.2,"['analyze', 'analyse', 'psychoanalyze', 'psychoanalyse']",analyse
5772667,0,"['analysis', 'analytic thinking']",analysis
5772667,0,"['analysis', 'analytic thinking']",analytic thinking
643197,0.2,"['analyze', 'analyse', 'psychoanalyze', 'psychoanalyse']",analyze
2604913,0,['ancestral'],ancestral
4922787,0,"['ancestry', 'lineage', 'derivation', 'filiation']",ancestry
1304944,0.333333333,"['anchor', 'ground']",anchor
2354897,0,"['accessory', 'adjunct', 'ancillary', 'adjuvant', 'appurtenant', 'auxiliary']",ancillary
470701,0,"['eliminate', 'annihilate', 'extinguish', 'eradicate', 'wipe out', 'decimate', 'carry off']",annihilate
3380,0.4,['annoyingly'],annoyingly
81737,0.4,"['annually', 'yearly', 'every year', 'each year']",annually
2070188,0.4,"['another', 'some other']",another
6746005,0,"['answer', 'reply', 'response']",answer
4669828,0,"['accountability', 'answerability', 'answerableness']",answerability
4669828,0,"['accountability', 'answerability', 'answerableness']",answerableness
1818680,0,"['antagonistic', 'counter']",antagonistic
2712443,0.222222222,"['predate', 'precede', 'forego', 'forgo', 'antecede', 'antedate']",antecede
5047279,0.5,"['priority', 'antecedence', 'antecedency', 'anteriority', 'precedence', 'precedency']",antecedence
5047279,0.5,"['priority', 'antecedence', 'antecedency', 'anteriority', 'precedence', 'precedency']",antecedency
13844923,0.25,"['antecedent', 'forerunner']",antecedent
60632,0.333333333,"['previously', 'antecedently']",antecedently
277086,0,"['predate', 'antedate', 'foredate']",antedate
5047279,0.5,"['priority', 'antecedence', 'antecedency', 'anteriority', 'precedence', 'precedency']",anteriority
285905,0.4,"['racist', 'antiblack', 'anti-Semite']",anti-Semite
285905,0.4,"['racist', 'antiblack', 'anti-Semite']",antiblack
342640,0,['anticipate'],anticipate
929815,0.285714286,"['anticipated', 'awaited', 'hoped-for']",anticipated
14486122,0.4,"['anticipation', 'expectation']",anticipation
442057,0.166666667,"['counterclockwise', 'anticlockwise', 'contraclockwise']",anticlockwise
2267686,0.333333333,"['any', 'whatever', 'whatsoever']",any
31606,0.5,"['anymore', 'any longer']",any longer
31606,0.5,"['anymore', 'any longer']",anymore
567860,0.397790055,"['apart', 'isolated', 'obscure']",apart
892923,0.166666667,"['apologize', 'apologise']",apologise
892923,0.166666667,"['apologize', 'apologise']",apologize
6633363,0.333333333,['apology'],apology
1873985,0.333333333,"['apparent', 'ostensible', 'seeming']",apparent
8585657,0.333333333,"['horizon', 'apparent horizon', 'visible horizon', 'sensible horizon', 'skyline']",apparent horizon
6513764,0.5,"['solicitation', 'appeal', 'collection', 'ingathering']",appeal
2134672,0.25,"['appear', 'seem']",appear
1328705,0.25,"['append', 'add on', 'supplement', 'affix']",append
13795180,0.4,"['applicability', 'pertinence', 'pertinency']",applicability
712225,0.333333333,"['application', 'coating', 'covering']",application
1158872,0,"['use', 'utilize', 'utilise', 'apply', 'employ']",apply
2396205,0,"['appoint', 'name', 'nominate', 'constitute']",appoint
8385009,0.2,"['date', 'appointment', 'engagement']",appointment
2294179,0,"['share', 'divvy up', 'portion out', 'apportion', 'deal']",apportion
646542,0.5,"['survey', 'appraise']",appraise
1805982,0,['appreciate'],appreciate
5806623,0.333333333,"['appreciation', 'grasp', 'hold']",appreciation
774676,0.5,['appreciative'],appreciative
1064806,0.333333333,"['apprenticed', 'articled', 'bound', 'indentured']",apprenticed
873682,0.5,"['advise', 'notify', 'give notice', 'send word', 'apprise', 'apprize']",apprise
873682,0.5,"['advise', 'notify', 'give notice', 'send word', 'apprise', 'apprize']",apprize
7310507,0,"['approach', 'approaching']",approach
7310507,0,"['approach', 'approaching']",approaching
996089,0,"['approving', 'affirmative', 'approbative', 'approbatory', 'plausive']",approbative
996089,0,"['approving', 'affirmative', 'approbative', 'approbatory', 'plausive']",approbatory
724150,0.333333333,"['allow', 'appropriate', 'earmark', 'set aside', 'reserve']",appropriate
6686736,0.272727273,"['approval', 'commendation']",approval
806502,0.333333333,"['approve', 'O.K.', 'okay', 'sanction']",approve
179035,0.5,"['approved', 'sanctioned']",approved
996089,0,"['approving', 'affirmative', 'approbative', 'approbatory', 'plausive']",approving
2666060,0.4,"['approximate', 'come close']",approximate
7015,0,"['approximately', 'about', 'close to', 'just about', 'some', 'roughly', 'more or less', 'around', 'or so']",approximately
5803379,0,"['estimate', 'estimation', 'approximation', 'idea']",approximation
2671421,0,"['accessory', 'appurtenance', 'supplement', 'add-on']",appurtenance
2354897,0,"['accessory', 'adjunct', 'ancillary', 'adjuvant', 'appurtenant', 'auxiliary']",appurtenant
2732072,0.4,"['aquarium', 'fish tank', 'marine museum']",aquarium
7150850,0.333333333,['arbitration'],arbitration
5938400,0,"['original', 'archetype', 'pilot']",archetype
773432,0.375,"['argue', 'contend', 'debate', 'fence']",argue
6648724,0,"['argument', 'statement']",argument
2583139,0.333333333,"['rebel', 'arise', 'rise', 'rise up']",arise
7015,0,"['approximately', 'about', 'close to', 'just about', 'some', 'roughly', 'more or less', 'around', 'or so']",around
1629958,0.333333333,"['raise', 'conjure', 'conjure up', 'invoke', 'evoke', 'stir', 'call down', 'arouse', 'bring up', 'put forward', 'call forth']",arouse
735571,0,"['arrange', 'set up', 'put', 'order']",arrange
1681028,0.5,"['arranged', 'ordered']",arranged
939628,0.333333333,"['arrangement', 'arranging', 'transcription']",arrangement
939628,0.333333333,"['arrangement', 'arranging', 'transcription']",arranging
733632,0.5,"['align', 'array']",array
14010927,0.333333333,"['arrest', 'check', 'halt', 'hitch', 'stay', 'stop', 'stoppage']",arrest
48374,0.5,['arrival'],arrival
2585860,0.333333333,"['arrive', 'make it', 'get in', 'go far']",arrive
2020590,0,"['reach', 'make', 'attain', 'hit', 'arrive at', 'gain']",arrive at
2276746,0,"['arrogate', 'assign']",arrogate
85678,0.5,"['confiscation', 'arrogation']",arrogation
854150,0,"['horse around', 'arse around', 'fool around', 'fool']",arse around
120095,0.333333333,"['arterialize', 'arterialise']",arterialise
120095,0.333333333,"['arterialize', 'arterialise']",arterialize
5942888,0.333333333,"['conviction', 'strong belief', 'article of faith']",article of faith
1064806,0.333333333,"['apprenticed', 'articled', 'bound', 'indentured']",articled
2354287,0.2,"['joint', 'articulate']",articulate
47534,0.333333333,"['besides', 'too', 'also', 'likewise', 'as well']",as well
1970348,0,"['rise', 'come up', 'uprise', 'ascend']",ascend
14441825,0,"['dominance', 'ascendance', 'ascendence', 'ascendancy', 'ascendency', 'control']",ascendance
14441825,0,"['dominance', 'ascendance', 'ascendence', 'ascendancy', 'ascendency', 'control']",ascendancy
791631,0,"['ascendant', 'ascendent', 'dominating']",ascendant
14441825,0,"['dominance', 'ascendance', 'ascendence', 'ascendancy', 'ascendency', 'control']",ascendence
14441825,0,"['dominance', 'ascendance', 'ascendence', 'ascendancy', 'ascendency', 'control']",ascendency
791631,0,"['ascendant', 'ascendent', 'dominating']",ascendent
662589,0,"['see', 'check', 'insure', 'see to it', 'ensure', 'control', 'ascertain', 'assure']",ascertain
234052,0,"['aside', 'away']",aside
755745,0,"['ask', 'require', 'expect']",ask
7185325,0,"['request', 'asking']",asking
1119169,0.333333333,"['attack', 'assail']",assail
862683,0.333333333,"['attack', 'round', 'assail', 'lash out', 'snipe', 'assault']",assault
1629349,0.5,"['assaultive', 'attacking']",assaultive
7975026,0,"['gathering', 'assemblage']",assemblage
2428924,0,"['meet', 'gather', 'assemble', 'forgather', 'foregather']",assemble
1014066,0.333333333,"['collection', 'collecting', 'assembling', 'aggregation']",assembling
3386420,0,"['forum', 'assembly', 'meeting place']",assembly
4008385,0.333333333,"['production line', 'assembly line', 'line']",assembly line
2276746,0,"['arrogate', 'assign']",assign
164345,0,"['assignment', 'assigning']",assigning
164345,0,"['assignment', 'assigning']",assignment
602255,0,"['absorb', 'assimilate', 'ingest', 'take in']",assimilate
2540670,0.25,"['serve', 'attend to', 'wait on', 'attend', 'assist']",assist
1207609,0.3,"['aid', 'assist', 'assistance', 'help']",assistance
2353707,0,"['assisted', 'aided']",assisted
793426,0,['associate'],associate
1081628,0,['association'],association
654625,0.333333333,"['classify', 'class', 'sort', 'assort', 'sort out', 'separate']",assort
1199083,0.5,"['assorted', 'miscellaneous', 'mixed', 'motley', 'sundry']",assorted
50652,0,"['wear', 'put on', 'get into', 'don', 'assume']",assume
7227772,0,"['assurance', 'pledge']",assurance
884011,0,"['promise', 'assure']",assure
32358,0.5,"['about', 'astir']",astir
645856,0.5,"['astounding', 'dumbfounding', 'dumfounding']",astounding
206386,0.5,['astray'],astray
80039,0,"['below', 'at a lower place', 'to a lower place', 'beneath']",at a lower place
448314,0,"['at hand', 'close at hand', 'imminent', 'impendent', 'impending']",at hand
578234,0,"['at odds', 'conflicting', 'contradictory', 'self-contradictory']",at odds
118965,0.25,"['once', 'formerly', 'at one time', 'erstwhile', 'erst']",at one time
120223,0.142857143,"['concurrently', 'at the same time']",at the same time
2538086,0,"['bind', 'tie', 'attach', 'bond']",attach
2716165,0,"['attach to', 'accompany', 'come with', 'go with']",attach to
160425,0.25,['attached'],attached
379422,0,"['attachment', 'affixation']",attachment
1118449,0,"['attack', 'aggress']",attack
1629349,0.5,"['assaultive', 'attacking']",attacking
2020590,0,"['reach', 'make', 'attain', 'hit', 'arrive at', 'gain']",attain
2612762,0.125,"['attend', 'go to']",attend
2540670,0.25,"['serve', 'attend to', 'wait on', 'attend', 'assist']",attend to
8185063,0,['attendance'],attendance
122844,0,"['attendant', 'consequent', 'accompanying', 'concomitant', 'incidental', 'ensuant', 'resultant', 'sequent']",attendant
1233397,0.25,"['attendance', 'attending']",attending
654885,0,"['care', 'attention', 'aid', 'tending']",attention
1350025,0,['attract'],attract
5850823,0.333333333,"['attraction', 'attractor', 'attracter', 'attractive feature', 'magnet']",attracter
6615561,0.2,['attraction'],attraction
5850823,0.333333333,"['attraction', 'attractor', 'attracter', 'attractive feature', 'magnet']",attractive feature
5850823,0.333333333,"['attraction', 'attractor', 'attracter', 'attractive feature', 'magnet']",attractor
740053,0.333333333,"['assign', 'attribute']",attribute
1306645,0.428571429,"['abreast', 'au courant', 'au fait', 'up on']",au courant
1306645,0.428571429,"['abreast', 'au courant', 'au fait', 'up on']",au fait
8221897,0,['audience'],audience
697062,0.25,"['audit', 'scrutinize', 'scrutinise', 'inspect']",audit
880586,0.2,['augmented'],augmented
787357,0.5,"['authoritarian', 'dictatorial', 'overbearing']",authoritarian
8440630,0.5,"['dictatorship', 'absolutism', 'authoritarianism', 'Caesarism', 'despotism', 'monocracy', 'one-man rule', 'shogunate', 'Stalinism', 'totalitarianism', 'tyranny']",authoritarianism
240754,0,"['authorship', 'paternity']",authorship
728225,0,"['autonomous', 'self-directed', 'self-reliant']",autonomous
2354897,0,"['accessory', 'adjunct', 'ancillary', 'adjuvant', 'appurtenant', 'auxiliary']",auxiliary
5149832,0.4,"['avail', 'help', 'service']",avail
4718999,0.5,"['handiness', 'accessibility', 'availability', 'availableness']",availability
4718999,0.5,"['handiness', 'accessibility', 'availability', 'availableness']",availableness
1673061,0,"['average', 'fair', 'mediocre', 'middling']",average
204022,0.428571429,"['aversion', 'averting']",aversion
204022,0.428571429,"['aversion', 'averting']",averting
203753,0.5,"['avoidance', 'turning away', 'shunning', 'dodging']",avoidance
384658,0.5,['avulsion'],avulsion
720063,0,"['expect', 'look', 'await', 'wait']",await
929815,0.285714286,"['anticipated', 'awaited', 'hoped-for']",awaited
190115,0.333333333,"['aware', 'cognizant', 'cognisant']",aware
1219938,0,['away'],away
2013083,0.4,"['aweless', 'awless', 'disrespectful']",aweless
2013083,0.4,"['aweless', 'awless', 'disrespectful']",awless
937208,0.5,"['spill the beans', 'let the cat out of the bag', 'talk', 'tattle', 'blab', 'peach', 'babble', 'sing', 'babble out', 'blab out']",babble
937208,0.5,"['spill the beans', 'let the cat out of the bag', 'talk', 'tattle', 'blab', 'peach', 'babble', 'sing', 'babble out', 'blab out']",babble out
2616118,0,"['bachelor', 'bach']",bach
2616118,0,"['bachelor', 'bach']",bachelor
2840619,0.333333333,"['binding', 'book binding', 'cover', 'back']",back
8629508,0.333333333,"['rear', 'backside', 'back end']",back end
2556126,0.166666667,"['support', 'back up']",back up
73032,0.4,"['backfire', 'boomerang']",backfire
5823517,0,"['background', 'background knowledge']",background
5823517,0,"['background', 'background knowledge']",background knowledge
1213886,0,"['backing', 'backup', 'championship', 'patronage']",backing
197773,0.277777778,"['backmost', 'hindermost', 'hindmost', 'rearmost']",backmost
8629508,0.333333333,"['rear', 'backside', 'back end']",backside
1213886,0,"['backing', 'backup', 'championship', 'patronage']",backup
74407,0.333333333,"['back', 'backward', 'backwards', 'rearward', 'rearwards']",backward
74407,0.333333333,"['back', 'backward', 'backwards', 'rearward', 'rearwards']",backwards
11411610,0,"['aftermath', 'wake', 'backwash']",backwash
16240,0.333333333,"['badly', 'bad']",bad
16240,0.333333333,"['badly', 'bad']",badly
4581595,0.333333333,"['whorehouse', 'brothel', 'bordello', 'bagnio', 'house of prostitution', 'house of ill repute', 'bawdyhouse', 'cathouse', 'sporting house']",bagnio
2776205,0,"['bait', 'decoy', 'lure']",bait
13810818,0,"['remainder', 'balance', 'residual', 'residue', 'residuum', 'rest']",balance
893441,0.25,['balanced'],balanced
185104,0,"['reconciliation', 'balancing']",balancing
