"synset","rating","words","examples__001","examples__002","examples__003","examples__004","examples__005","examples__006","examples__007","examples__008","examples__009","examples__010","examples__011","words__-"
"","","cranny","","","","","","","","","","","",""
"","","crack","","","","","","","","","","","",""
"","","fissure","","","","","","","","","","","",""
"","","chap","","","","","","","","","","","",""
"7968702","0.5","interest","the iron interests stepped up production","","","","","","","","","","",""
"","","interest group","","","","","","","","","","","",""
"1000068","0.25177809388335703","","","","","","","","","","","","","alignment"
"79617","1.375","","he participated actively in the war","","","","","","","","","","","actively"
"576680","0.6935483870967742","","testimony consistent with the known facts","I have decided that the course of conduct which I am following is consistent with my sense of responsibility as president in time of war","","","","","","","","","","consistent"
"4067472","1.5","","","","","","","","","","","","","reel"
"2846743","1.5","antediluvian","antediluvian man","","","","","","","","","","",""
"","","antediluvial","","","","","","","","","","","",""
"5708207","0.75","insight","","","","","","","","","","","",""
"","","sixth sense","","","","","","","","","","","",""
"161294","1.5","","sales of luxury cars dropped markedly","","","","","","","","","","","markedly"
"277585","1.0","bang","he ran bang into the pole","ran slap into her","","","","","","","","","",""
"","","slap","","","","","","","","","","","",""
"","","slapdash","","","","","","","","","","","",""
"","","smack","","","","","","","","","","","",""
"","","bolt","","","","","","","","","","","",""
"2049648","1.1666666666666667","tricuspid","tricuspid molar","tricuspid valve","","","","","","","","","",""
"","","tricuspidate","","","","","","","","","","","",""
"7096237","1.6666666666666667","","","","","","","","","","","","","hexameter"
"6779642","1.3333333333333333","","","","","","","","","","","","","one-liner"
"6345320","1.5","subheading","","","","","","","","","","","",""
"","","subhead","","","","","","","","","","","",""
"1425300","1.6","","richy loamy soil","","","","","","","","","","","loamy"
"1688271","1.0","","the manuscript contained unoriginal emendations","his life had been unoriginal, conforming completely to the given pattern","","","","","","","","","","unoriginal"
"1006810","0.1260096930533118","","My Russian pen pal and I have been corresponding for several years","","","","","","","","","","","correspond"
"2743020","0.47603305785123967","","He was balancing on one foot","","","","","","","","","","","balance"
"777931","0.6666666666666666","importune","I importune you to help them","","","","","","","","","","",""
"","","insist","","","","","","","","","","","",""
"2732401","0.23222060957910015","","","","","","","","","","","","","converge"
"619433","1.7924528301886793","","","","","","","","","","","","","raw"
"238022","0.6666666666666666","introduction","they looked forward to the debut of their new product line","","","","","","","","","","",""
"","","debut","","","","","","","","","","","",""
"","","first appearance","","","","","","","","","","","",""
"","","launching","","","","","","","","","","","",""
"","","unveiling","","","","","","","","","","","",""
"","","entry","","","","","","","","","","","",""
"524693","0.4913112164296998","","a partial description of the suspect","partial collapse","a partial eclipse","a partial monopoly","partial immunity","","","","","","","partial"
"609750","1.7096774193548387","","she likes funky clothes","we did it all in black and white in a very funky sixties style","","","","","","","","","","funky"
"1196775","0.6666666666666666","implemental","instrumental in solving the crime","","","","","","","","","","",""
"","","instrumental","","","","","","","","","","","",""
"","","subservient","","","","","","","","","","","",""
"893167","0.3333333333333333","excuse","excuse someone's behavior","She condoned her husband's occasional infidelities","","","","","","","","","",""
"","","condone","","","","","","","","","","","",""
"3064443","1.1666666666666667","coffer","","","","","","","","","","","",""
"","","caisson","","","","","","","","","","","",""
"","","lacuna","","","","","","","","","","","",""
"1034312","0.0","discourse","The author talks about the different aspects of this question","The class discussed Dante's `Inferno'","","","","","","","","","",""
"","","talk about","","","","","","","","","","","",""
"","","discuss","","","","","","","","","","","",""
"1769902","0.2","","The young chess player impressed her audience","","","","","","","","","","","impress"
"749749","0.9","casual","a difficult feat performed with casual mastery","careless grace","","","","","","","","","",""
"","","effortless","","","","","","","","","","","",""
"2481951","1.2","metameric","","","","","","","","","","","",""
"","","segmental","","","","","","","","","","","",""
"","","segmented","","","","","","","","","","","",""
"309074","0.6666666666666666","erupt","He broke out in hives","My skin breaks out when I eat strawberries","Such boils tend to recrudesce","","","","","","","","",""
"","","recrudesce","","","","","","","","","","","",""
"","","break out","","","","","","","","","","","",""
"726445","0.2978723404255319","interdependent","","","","","","","","","","","",""
"","","mutualist","","","","","","","","","","","",""
"","","mutually beneficial","","","","","","","","","","","",""
"244958","1.6","bronzed","a young bronzed Apollo","","","","","","","","","","",""
"","","suntanned","","","","","","","","","","","",""
"","","tanned","","","","","","","","","","","",""
"462546","1.5","miasmal","miasmic jungles","a vaporous bog","","","","","","","","","",""
"","","miasmic","","","","","","","","","","","",""
"","","vaporous","","","","","","","","","","","",""
"","","vapourous","","","","","","","","","","","",""
"665630","1.0","","","","","","","","","","","","","prove"
"1588134","0.75","fence","we fenced in our yard","","","","","","","","","","",""
"","","fence in","","","","","","","","","","","",""
"6672040","0.8","","the insurance company says that you need a written referral from your physician before seeing a specialist","","","","","","","","","","","referral"
"3788703","1.4","mothball","","","","","","","","","","","",""
"","","camphor ball","","","","","","","","","","","",""
"795246","1.8775510204081634","","spectacular dives from the cliff","","","","","","","","","","","spectacular"
"3409297","1.4","","","","","","","","","","","","","gabardine"
"5945642","1.0","opinion","my opinion differs from yours","I am not of your persuasion","what are your thoughts on Haiti?","","","","","","","","",""
"","","sentiment","","","","","","","","","","","",""
"","","persuasion","","","","","","","","","","","",""
"","","view","","","","","","","","","","","",""
"","","thought","","","","","","","","","","","",""
"1250676","1.75","","rosin the violin bow","","","","","","","","","","","rosin"
"2732603","0.4280373831775701","","","","","","","","","","","","","diverge"
"1366426","0.125","","hook up the houses to the gas supply line","Hook up the components of the new sound system","","","","","","","","","","hook up"
"1021499","1.4","","subhuman conditions of life","","","","","","","","","","","subhuman"
"7275275","1.0","kowtow","","","","","","","","","","","",""
"","","kotow","","","","","","","","","","","",""
"2446239","1.4","fibrous","","","","","","","","","","","",""
"","","sinewy","","","","","","","","","","","",""
"","","stringy","","","","","","","","","","","",""
"","","unchewable","","","","","","","","","","","",""
"49909","1.2","","","","","","","","","","","","","entail"
"4547991","1.4","wallboard","","","","","","","","","","","",""
"","","drywall","","","","","","","","","","","",""
"","","dry wall","","","","","","","","","","","",""
"1934554","1.630794701986755","","ghosts and other unreal entities","unreal propaganda serving as news","","","","","","","","","","unreal"
"16678","1.0","badly","he behaved badly in school","he mischievously looked for a chance to embarrass his sister","behaved naughtily when they had guests and was sent to his room","","","","","","","","",""
"","","mischievously","","","","","","","","","","","",""
"","","naughtily","","","","","","","","","","","",""
"946650","1.2","quest","a quest for diamonds","","","","","","","","","","",""
"","","seeking","","","","","","","","","","","",""
"167920","1.25","vainly","he looked for her in vain","the city fathers tried vainly to find a solution","","","","","","","","","",""
"","","in vain","","","","","","","","","","","",""
"2382934","0.75","","the investigation was very systematic","a systematic administrator","","","","","","","","","","systematic"
"605023","1.0","","","","","","","","","","","","","throne"
"585202","1.668488160291439","","creative work","","","","","","","","","","","creative"
"6408779","0.8","adaptation","the play is an adaptation of a short novel","","","","","","","","","","",""
"","","version","","","","","","","","","","","",""
"685638","1.5849889624724063","","an able and decisive young woman","we needed decisive leadership","she gave him a decisive answer","","","","","","","","","decisive"
"3733644","1.0","","","","","","","","","","","","","measure"
"639230","1.319516407599309","","","","","","","","","","","","","thoughtful"
"294452","1.5","dash","","","","","","","","","","","",""
"","","sprint","","","","","","","","","","","",""
"998604","0.75","","","","","","","","","","","","","anthropometry"
"605406","1.4251497005988023","","they arrived at an awkward time","","","","","","","","","","","awkward"
"1919428","1.754646840148699","silent","a silent house","soundless footsteps on the grass","the night was still","","","","","","","","",""
"","","soundless","","","","","","","","","","","",""
"","","still","","","","","","","","","","","",""
"1418667","0.45665961945031713","shuffle","shuffle the cards","","","","","","","","","","",""
"","","ruffle","","","","","","","","","","","",""
"","","mix","","","","","","","","","","","",""
"4430896","1.0","","","","","","","","","","","","","thumb"
"4734885","0.8","inconstancy","","","","","","","","","","","",""
"","","changefulness","","","","","","","","","","","",""
"323199","0.46176470588235297","","a causal relationship between scarcity and higher prices","","","","","","","","","","","causal"
"1919793","1.2","","moving with tiptoe steps","","","","","","","","","","","tiptoe"
"643910","1.5","","","","","","","","","","","","","parse"
"7308563","1.2","explosion","","","","","","","","","","","",""
"","","detonation","","","","","","","","","","","",""
"","","blowup","","","","","","","","","","","",""
"72586","1.4","","The sick men urinated blood","","","","","","","","","","","urinate"
"2777402","1.4","balance wheel","","","","","","","","","","","",""
"","","balance","","","","","","","","","","","",""
"301168","1.0","derisively","`Sorry,' she repeated derisively","","","","","","","","","","",""
"","","scoffingly","","","","","","","","","","","",""
"","","derisorily","","","","","","","","","","","",""
"","","mockingly","","","","","","","","","","","",""
"768808","1.25","","hearsay information","","","","","","","","","","","hearsay"
"1668340","0.70625","","how well organized she is","his life was almost too organized","","","","","","","","","","organized"
"268112","1.0","overhaul","it was time for an overhaul on the tractor","","","","","","","","","","",""
"","","inspection and repair","","","","","","","","","","","",""
"","","service","","","","","","","","","","","",""
"2819346","1.5","","","","","","","","","","","","","turbinate"
"2724417","0.16279069767441862","relate","How are these two observations related?","","","","","","","","","","",""
"","","interrelate","","","","","","","","","","","",""
"1356038","0.35714285714285715","","","","","","","","","","","","","disconnect"
"1059911","1.4","","a geostationary satellite","","","","","","","","","","","geostationary"
"2623194","0.2512","bridge","","","","","","","","","","","",""
"","","bridge over","","","","","","","","","","","",""
"6758584","0.8","","","","","","","","","","","","","half-truth"
"9179264","0.8","","there was no occasion for complaint","","","","","","","","","","","occasion"
"3619890","1.6","","","","","","","","","","","","","kitchen"
"1109467","0.36363636363636365","","deductible losses on sales or exchanges of property are allowable","","","","","","","","","","","exchange"
"358089","1.2","crush","","","","","","","","","","","",""
"","","crunch","","","","","","","","","","","",""
"","","compaction","","","","","","","","","","","",""
"3793186","1.0","","","","","","","","","","","","","mounting"
"4901599","1.0","","","","","","","","","","","","","incorrectness"
"14435445","0.8","eminence","a scholar of great eminence","","","","","","","","","","",""
"","","distinction","","","","","","","","","","","",""
"","","preeminence","","","","","","","","","","","",""
"","","note","","","","","","","","","","","",""
"5707495","0.8","","","","","","","","","","","","","intuition"
"4802079","1.2","scholasticism","","","","","","","","","","","",""
"","","academicism","","","","","","","","","","","",""
"","","academism","","","","","","","","","","","",""
"1313525","1.2","unpeopled","vast unpopulated plains","","","","","","","","","","",""
"","","unpopulated","","","","","","","","","","","",""
"3045698","1.2","","","","","","","","","","","","","cloak"
"370160","2.0","","","","","","","","","","","","","avocado"
"567860","0.39779005524861877","apart","existed over the centuries as a world apart","preserved because they inhabited a place apart","tiny isolated villages remote from centers of civilization","an obscure village","","","","","","","",""
"","","isolated","","","","","","","","","","","",""
"","","obscure","","","","","","","","","","","",""
"1115920","1.0","attested","","","","","","","","","","","",""
"","","authenticated","","","","","","","","","","","",""
"","","documented","","","","","","","","","","","",""
"580512","1.0","transfigure","","","","","","","","","","","",""
"","","glorify","","","","","","","","","","","",""
"","","spiritualize","","","","","","","","","","","",""
"2035765","1.5","condemnable","a criminal waste of talent","a deplorable act of violence","adultery is as reprehensible for a husband as for a wife","","","","","","","","",""
"","","criminal","","","","","","","","","","","",""
"","","deplorable","","","","","","","","","","","",""
"","","reprehensible","","","","","","","","","","","",""
"","","vicious","","","","","","","","","","","",""
"1107544","1.5","","","","","","","","","","","","","outweigh"
"6724066","1.5","truth","he told the truth","he thought of answering with the truth but he knew they wouldn't believe it","","","","","","","","","",""
"","","true statement","","","","","","","","","","","",""
"2257767","0.1664145234493192","substitute","the con artist replaced the original with a fake Rembrandt","substitute regular milk with fat-free milk","synonyms can be interchanged without a changing the context's meaning","","","","","","","","",""
"","","replace","","","","","","","","","","","",""
"","","interchange","","","","","","","","","","","",""
"","","exchange","","","","","","","","","","","",""
"1279978","2.0","","a relatively unimportant feature of the system","the question seems unimportant","","","","","","","","","","unimportant"
"461057","2.0","","","","","","","","","","","","","hush"
"950431","2.0","consider","You must consider her age","The judge considered the offender's youth and was lenient","","","","","","","","","",""
"","","count","","","","","","","","","","","",""
"","","weigh","","","","","","","","","","","",""
"494907","0.5","communicative","was a communicative person and quickly told all she knew","","","","","","","","","","",""
"","","communicatory","","","","","","","","","","","",""
"578116","1.5","militarize","militarize the Civil Service","","","","","","","","","","",""
"","","militarise","","","","","","","","","","","",""
"1752167","2.0","","had only an imperfect understanding of his responsibilities","imperfect mortals","drainage here is imperfect","","","","","","","","","imperfect"
"1487352","1.0","ill-sorted","","","","","","","","","","","",""
"","","incompatible","","","","","","","","","","","",""
"","","mismated","","","","","","","","","","","",""
"","","unsuited","","","","","","","","","","","",""
"6012513","2.0","trigonometry","","","","","","","","","","","",""
"","","trig","","","","","","","","","","","",""
"588797","1.5","contented","a contented smile","","","","","","","","","","",""
"","","content","","","","","","","","","","","",""
"1295275","0.017857142857142856","join","join these two parts so that they fit together","","","","","","","","","","",""
"","","bring together","","","","","","","","","","","",""
"1446901","2.0","brandish","She waved her gun","","","","","","","","","","",""
"","","flourish","","","","","","","","","","","",""
"","","wave","","","","","","","","","","","",""
"4089152","2.0","ridge","","","","","","","","","","","",""
"","","ridgepole","","","","","","","","","","","",""
"","","rooftree","","","","","","","","","","","",""
"707206","1.5","","tender green shoots","","","","","","","","","","","tender"
"615757","1.5130434782608695","","","","","","","","","","","","","cooked"
"2057226","2.0","laic","set his collar in laic rather than clerical position","the lay ministry","","","","","","","","","",""
"","","lay","","","","","","","","","","","",""
"","","secular","","","","","","","","","","","",""
"797468","2.0","","","","","","","","","","","","","no-brainer"
"1209678","1.5","feel","Feel this soft cloth!","The customer fingered the sweater","","","","","","","","","",""
"","","finger","","","","","","","","","","","",""
"1319712","1.75","unharmed","","","","","","","","","","","",""
"","","unhurt","","","","","","","","","","","",""
"","","unscathed","","","","","","","","","","","",""
"","","whole","","","","","","","","","","","",""
"2660290","0.5276292335115864","","","","","","","","","","","","","dovetail"
"780575","0.75","digress","She always digresses when telling a story","her mind wanders","Don't digress when you give a lecture","","","","","","","","",""
"","","stray","","","","","","","","","","","",""
"","","divagate","","","","","","","","","","","",""
"","","wander","","","","","","","","","","","",""
"1757338","1.25","","The stimulus facilitates a delayed impulse","","","","","","","","","","","facilitate"
"1059564","0.6666666666666666","ignore","She cut him dead at the meeting","","","","","","","","","","",""
"","","disregard","","","","","","","","","","","",""
"","","snub","","","","","","","","","","","",""
"","","cut","","","","","","","","","","","",""
"3161016","0.6666666666666666","dampener","he used a dampener to moisten the shirts before he ironed them","","","","","","","","","","",""
"","","moistener","","","","","","","","","","","",""
"1033942","1.3333333333333333","","The mayor did not sugarcoat the reality of the tax cuts","","","","","","","","","","","sugarcoat"
"2034592","0.6666666666666666","","horny coral","horny (or horned) frog","","","","","","","","","","horny"
"815941","0.26005361930294907","","in the middle years","in his middle thirties","","","","","","","","","","middle"
"11418460","1.6666666666666667","luck","it was my good luck to be there","they say luck is a lady","it was as if fortune guided his hand","","","","","","","","",""
"","","fortune","","","","","","","","","","","",""
"566342","0.13793103448275862","adjacent","Rhode Island has two bordering states; Massachusetts and Conncecticut","the side of Germany conterminous with France","Utah and the contiguous state of Idaho","neighboring cities","","","","","","","",""
"","","conterminous","","","","","","","","","","","",""
"","","contiguous","","","","","","","","","","","",""
"","","neighboring","","","","","","","","","","","",""
"3232676","1.6666666666666667","drainboard","","","","","","","","","","","",""
"","","draining board","","","","","","","","","","","",""
"135148","1.6666666666666667","","I gave him a good box on the ear","","","","","","","","","","","box"
"1105639","0.3566775244299674","surpass","her performance surpasses that of any other student I know","She outdoes all other athletes","This exceeds all my expectations","This car outperforms all others in its class","","","","","","","",""
"","","outstrip","","","","","","","","","","","",""
"","","outmatch","","","","","","","","","","","",""
"","","outgo","","","","","","","","","","","",""
"","","exceed","","","","","","","","","","","",""
"","","outdo","","","","","","","","","","","",""
"","","surmount","","","","","","","","","","","",""
"","","outperform","","","","","","","","","","","",""
"2094569","0.6666666666666666","thrust","Stuff money into an envelope","She thrust the letter into his hand","","","","","","","","","",""
"","","stuff","","","","","","","","","","","",""
"","","shove","","","","","","","","","","","",""
"","","squeeze","","","","","","","","","","","",""
"860611","2.0","theoretical","theoretical science","","","","","","","","","","",""
"","","theoretic","","","","","","","","","","","",""
"4722231","1.0","habitability","","","","","","","","","","","",""
"","","habitableness","","","","","","","","","","","",""
"944415","1.0","","She exudes great confidence","","","","","","","","","","","exude"
"7240925","0.3333333333333333","nominating speech","the nomination was brief and to the point","","","","","","","","","","",""
"","","nominating address","","","","","","","","","","","",""
"","","nomination","","","","","","","","","","","",""
"14841770","2.0","","his sour breath offended her","","","","","","","","","","","breath"
"1518924","0.25217391304347825","weave","","","","","","","","","","","",""
"","","interweave","","","","","","","","","","","",""
"1549568","1.3333333333333333","debauched","Congreve draws a debauched aristocratic society","deplorably dissipated and degraded","riotous living","fast women","","","","","","","",""
"","","degenerate","","","","","","","","","","","",""
"","","degraded","","","","","","","","","","","",""
"","","dissipated","","","","","","","","","","","",""
"","","dissolute","","","","","","","","","","","",""
"","","libertine","","","","","","","","","","","",""
"","","profligate","","","","","","","","","","","",""
"","","riotous","","","","","","","","","","","",""
"","","fast","","","","","","","","","","","",""
"2995972","1.4","","a novel of almost mythic consequence","","","","","","","","","","","mythic"
"3892891","0.6","part","the rear part of the house","glue the two parts together","","","","","","","","","",""
"","","portion","","","","","","","","","","","",""
"189960","1.6","","the judge sat there solemnly","","","","","","","","","","","solemnly"
"1532912","1.4","modest","a modest salary","modest inflation","helped in my own small way","","","","","","","","",""
"","","small","","","","","","","","","","","",""
"8477634","0.75","womanhood","it's an insult to American womanhood","woman is the glory of creation","the fair sex gathered on the veranda","","","","","","","","",""
"","","woman","","","","","","","","","","","",""
"","","fair sex","","","","","","","","","","","",""
"4541320","1.375","","","","","","","","","","","","","voltmeter"
"6740644","0.75","defense","he offered a persuasive defense of the theory","","","","","","","","","","",""
"","","defence","","","","","","","","","","","",""
"","","vindication","","","","","","","","","","","",""
"579084","1.125","","a tower conspicuous at a great distance","wore conspicuous neckties","made herself conspicuous by her exhibitionistic preening","","","","","","","","","conspicuous"
"261231","1.75","aesthetically","this building is aesthetically very pleasing","","","","","","","","","","",""
"","","esthetically","","","","","","","","","","","",""
"1266604","1.625","","blacktop the driveway","","","","","","","","","","","blacktop"
"37200","1.375","","she already had several performances to her credit","","","","","","","","","","","credit"
"680532","1.25","hurt","","","","","","","","","","","",""
"","","weakened","","","","","","","","","","","",""
"423781","1.25","","unswept floors","","","","","","","","","","","unswept"
"340403","1.0","firsthand","I heard this story firsthand","","","","","","","","","","",""
"","","at first hand","","","","","","","","","","","",""
"862327","1.6","","theoretical physics","","","","","","","","","","","theoretical"
"517554","0.4554054054054054","","a half chicken","lasted a half hour","","","","","","","","","","half"
"2713364","1.6","","","","","","","","","","","","","anklet"
"570590","1.4042105263157896","","remained conscious during the operation","conscious of his faults","became conscious that he was being followed","","","","","","","","","conscious"
"2084979","1.6","","a technological civilization","","","","","","","","","","","technological"
"2997632","1.0","","aversive conditioning","","","","","","","","","","","aversive"
"5055278","1.2","transience","","","","","","","","","","","",""
"","","transiency","","","","","","","","","","","",""
"","","transitoriness","","","","","","","","","","","",""
"1082606","0.5061728395061729","enter","enter a race","enter an agreement","enter a drug treatment program","enter negotiations","","","","","","","",""
"","","participate","","","","","","","","","","","",""
"2771169","1.0","clear up","The sky cleared after the storm","","","","","","","","","","",""
"","","clear","","","","","","","","","","","",""
"","","light up","","","","","","","","","","","",""
"","","brighten","","","","","","","","","","","",""
"6688913","1.4","salute","a musical salute to the composer on his birthday","","","","","","","","","","",""
"","","salutation","","","","","","","","","","","",""
"585398","1.8","formative","a formative influence","a formative experience","","","","","","","","","",""
"","","shaping","","","","","","","","","","","",""
"","","plastic","","","","","","","","","","","",""
"367280","1.6","","","","","","","","","","","","","inflation"
"146856","0.0","merging","the merging of the two groups occurred quickly","there was no meeting of minds","","","","","","","","","",""
"","","meeting","","","","","","","","","","","",""
"","","coming together","","","","","","","","","","","",""
"4995009","1.8","","","","","","","","","","","","","acerbity"
"3088164","1.2","condom","","","","","","","","","","","",""
"","","rubber","","","","","","","","","","","",""
"","","safety","","","","","","","","","","","",""
"","","safe","","","","","","","","","","","",""
"","","prophylactic","","","","","","","","","","","",""
"1059900","1.4","healthcare","","","","","","","","","","","",""
"","","health care","","","","","","","","","","","",""
"340704","0.9230769230769231","","nothing will result from this meeting","","","","","","","","","","","result"
"1387319","1.4285714285714286","huge","huge government spending","huge country estates","huge popular demand for higher education","a huge wave","the Los Angeles aqueduct winds like an immense snake along the base of the mountains","immense numbers of birds","at vast (or immense) expense","the vast reaches of outer space","the vast accumulation of knowledge...which we call civilization","","",""
"","","immense","","","","","","","","","","","",""
"","","vast","","","","","","","","","","","",""
"","","Brobdingnagian","","","","","","","","","","","",""
"3644248","1.3076923076923077","lash-up","","","","","","","","","","","",""
"","","contrivance","","","","","","","","","","","",""
"2015598","1.1428571428571428","exit","leave the room","the fugitive has left the country","","","","","","","","","",""
"","","go out","","","","","","","","","","","",""
"","","get out","","","","","","","","","","","",""
"","","leave","","","","","","","","","","","",""
"1561143","0.16205533596837945","collide","The cars collided","Two meteors clashed","","","","","","","","","",""
"","","clash","","","","","","","","","","","",""
"335895","1.2857142857142858","indisputable","indisputable (or sure) proof","","","","","","","","","","",""
"","","sure","","","","","","","","","","","",""
"2099774","0.6923076923076923","","senior officer","","","","","","","","","","","senior"
"1100147","1.4615384615384615","flotation","","","","","","","","","","","",""
"","","floatation","","","","","","","","","","","",""
"1824751","1.3076923076923077","","Technology without morality is barbarous; morality without technology is impotent","felt impotent rage","","","","","","","","","","impotent"
"2687992","1.1666666666666667","airfield","","","","","","","","","","","",""
"","","landing field","","","","","","","","","","","",""
"","","flying field","","","","","","","","","","","",""
"","","field","","","","","","","","","","","",""
"1806483","0.9166666666666666","exasperated","had an exasperated look on his face","felt exasperated beyond endurance","","","","","","","","","",""
"","","cheesed off","","","","","","","","","","","",""
"","","browned off","","","","","","","","","","","",""
"7347468","1.0","","","","","","","","","","","","","transient"
"1647983","1.5714285714285714","adolescent","teenage mothers","the teen years","","","","","","","","","",""
"","","teen","","","","","","","","","","","",""
"","","teenage","","","","","","","","","","","",""
"","","teenaged","","","","","","","","","","","",""
"2976681","1.0","epidemiologic","epidemiological studies","","","","","","","","","","",""
"","","epidemiological","","","","","","","","","","","",""
"1215719","0.8571428571428571","","","","","","","","","","","","","reassurance"
"1311321","1.0","","the inhabited regions of the earth","","","","","","","","","","","inhabited"
"2139884","1.6","modeled","her finely modeled features","rendered with...vivid sculptural effect","the sculpturesque beauty of the athletes' bodies","","","","","","","","",""
"","","sculptural","","","","","","","","","","","",""
"","","sculptured","","","","","","","","","","","",""
"","","sculpturesque","","","","","","","","","","","",""
"301187","1.2","","a calculable risk","calculable odds","","","","","","","","","","calculable"
"617865","1.75","shoemaking","","","","","","","","","","","",""
"","","shoe repairing","","","","","","","","","","","",""
"","","cobbling","","","","","","","","","","","",""
"3496892","2.0","harvester","","","","","","","","","","","",""
"","","reaper","","","","","","","","","","","",""
"829378","0.0","care","he is in the care of a bodyguard","","","","","","","","","","",""
"","","charge","","","","","","","","","","","",""
"","","tutelage","","","","","","","","","","","",""
"","","guardianship","","","","","","","","","","","",""
"627004","1.6","","a physical manifestation","surrounded by tangible objects","","","","","","","","","","physical"
"4676540","1.4","","the full phase of the moon","","","","","","","","","","","phase"
"5661400","1.0","","","","","","","","","","","","","methodology"
"1940651","1.6","hardheaded","a hardheaded appraisal of our position","a hard-nosed labor leader","completely practical in his approach to business","not ideology but pragmatic politics","","","","","","","",""
"","","hard-nosed","","","","","","","","","","","",""
"","","practical","","","","","","","","","","","",""
"","","pragmatic","","","","","","","","","","","",""
"1328877","0.2","tight-knit","a tight-knit organization","","","","","","","","","","",""
"","","tightly knit","","","","","","","","","","","",""
"2208971","1.0","eightieth","","","","","","","","","","","",""
"","","80th","","","","","","","","","","","",""
"5806623","0.3333333333333333","appreciation","he has a good grasp of accounting practices","","","","","","","","","","",""
"","","grasp","","","","","","","","","","","",""
"","","hold","","","","","","","","","","","",""
"1349893","0.42391304347826086","","she gathered her shawl around her shoulders","","","","","","","","","","","gather"
"2194286","0.8333333333333334","taste","","","","","","","","","","","",""
"","","savor","","","","","","","","","","","",""
"","","savour","","","","","","","","","","","",""
"15268367","0.6666666666666666","fag end","the fag end of this crisis-ridden century","the tail of the storm","","","","","","","","","",""
"","","tail","","","","","","","","","","","",""
"","","tail end","","","","","","","","","","","",""
"1290255","0.12944523470839261","","","","","","","","","","","","","attach"
"1668567","1.5","","a methodical scholar","","","","","","","","","","","methodical"
"1390900","1.5","","a voluminous skirt","","","","","","","","","","","voluminous"
"1794340","1.6170212765957446","","fancy handwriting","fancy clothes","","","","","","","","","","fancy"
"1381796","1.1666666666666667","","corralling votes for an election","","","","","","","","","","","corral"
"114095","0.8","jostle","","","","","","","","","","","",""
"","","jostling","","","","","","","","","","","",""
"1145163","1.2","","the hunters treed the bear with dogs and killed it","her dog likes to tree squirrels","","","","","","","","","","tree"
"142665","0.2786885245901639","comparison","they made a comparison of noise levels","the fractions selected for comparison must require pupils to consider both numerator and denominator","","","","","","","","","",""
"","","comparing","","","","","","","","","","","",""
"2438655","1.8","","","","","","","","","","","","","buck-toothed"
"1727926","0.2","","time past","his youth is past","this past Thursday","the past year","","","","","","","","past"
"60053","2.0","tasseled","","","","","","","","","","","",""
"","","tasselled","","","","","","","","","","","",""
"2108791","0.375","hit","Panic struck me","An interesting idea hit her","A thought came to me","The thought struck terror in our minds","They were struck with fear","","","","","","",""
"","","strike","","","","","","","","","","","",""
"","","come to","","","","","","","","","","","",""
"725772","0.1746031746031746","","dependent children","dependent on moisture","","","","","","","","","","dependent"
"7974025","0.125","class","the working class","an emerging professional class","","","","","","","","","",""
"","","stratum","","","","","","","","","","","",""
"","","social class","","","","","","","","","","","",""
"","","socio-economic class","","","","","","","","","","","",""
